date,close
2018-07-13,191.33
2018-07-13,191.33
2018-07-13,191.33
2018-07-13,191.33
2018-07-16,190.91
2018-07-16,190.91
2018-07-16,190.91
2018-07-16,190.91
2018-07-17,191.45
2018-07-17,191.45
2018-07-17,191.45
2018-07-17,191.45
2018-07-18,190.4
2018-07-18,190.4
2018-07-18,190.4
2018-07-18,190.4
2018-07-19,192.0111
2018-07-19,192.0111
2018-07-19,192.0111
2018-07-19,192.0111
2018-07-20,191.44
2018-07-20,191.44
2018-07-20,191.44
2018-07-20,191.44
2018-07-23,191.61
2018-07-23,191.61
2018-07-23,191.61
2018-07-23,191.61
2018-07-24,193.0
2018-07-24,193.0
2018-07-24,193.0
2018-07-24,193.0
2018-07-25,194.82
2018-07-25,194.82
2018-07-25,194.82
2018-07-25,194.82
2018-07-26,194.21
2018-07-26,194.21
2018-07-26,194.21
2018-07-26,194.21
2018-07-27,190.98
2018-07-27,190.98
2018-07-27,190.98
2018-07-27,190.98
2018-07-30,189.91
2018-07-30,189.91
2018-07-30,189.91
2018-07-30,189.91
2018-07-31,190.29
2018-07-31,190.29
2018-07-31,190.29
2018-07-31,190.29
2018-08-01,201.5
2018-08-01,201.5
2018-08-01,201.5
2018-08-01,201.5
2018-08-02,207.39
2018-08-02,207.39
2018-08-02,207.39
2018-08-02,207.39
2018-08-03,207.99
2018-08-03,207.99
2018-08-03,207.99
2018-08-03,207.99
2018-08-06,208.75
2018-08-06,208.75
2018-08-06,208.75
2018-08-06,208.75
2018-08-07,207.11
2018-08-07,207.11
2018-08-07,207.11
2018-08-07,207.11
2018-08-08,207.25
2018-08-08,207.25
2018-08-08,207.25
2018-08-08,207.25
2018-08-09,208.88
2018-08-09,208.88
2018-08-09,208.88
2018-08-09,208.88
2018-08-10,207.53
2018-08-10,207.53
2018-08-10,207.53
2018-08-10,207.53
2018-08-13,208.87
2018-08-13,208.87
2018-08-13,208.87
2018-08-13,208.87
2018-08-14,209.75
2018-08-14,209.75
2018-08-14,209.75
2018-08-14,209.75
2018-08-15,210.24
2018-08-15,210.24
2018-08-15,210.24
2018-08-15,210.24
2018-08-16,213.32
2018-08-16,213.32
2018-08-16,213.32
2018-08-16,213.32
2018-08-17,217.58
2018-08-17,217.58
2018-08-17,217.58
2018-08-17,217.58
2018-08-20,215.46
2018-08-20,215.46
2018-08-20,215.46
2018-08-20,215.46
2018-08-21,215.04
2018-08-21,215.04
2018-08-21,215.04
2018-08-21,215.04
2018-08-22,215.05
2018-08-22,215.05
2018-08-22,215.05
2018-08-22,215.05
2018-08-23,215.49
2018-08-23,215.49
2018-08-23,215.49
2018-08-23,215.49
2018-08-24,216.16
2018-08-24,216.16
2018-08-24,216.16
2018-08-24,216.16
2018-08-27,217.94
2018-08-27,217.94
2018-08-27,217.94
2018-08-27,217.94
2018-08-28,219.7
2018-08-28,219.7
2018-08-28,219.7
2018-08-28,219.7
2018-08-29,222.98
2018-08-29,222.98
2018-08-29,222.98
2018-08-29,222.98
2018-08-30,225.03
2018-08-30,225.03
2018-08-30,225.03
2018-08-30,225.03
2018-08-31,227.63
2018-08-31,227.63
2018-08-31,227.63
2018-08-31,227.63
2018-09-04,228.36
2018-09-04,228.36
2018-09-04,228.36
2018-09-04,228.36
2018-09-05,226.87
2018-09-05,226.87
2018-09-05,226.87
2018-09-05,226.87
2018-09-06,223.1
2018-09-06,223.1
2018-09-06,223.1
2018-09-06,223.1
2018-09-07,221.3
2018-09-07,221.3
2018-09-07,221.3
2018-09-07,221.3
2018-09-10,218.33
2018-09-10,218.33
2018-09-10,218.33
2018-09-10,218.33
2018-09-11,223.85
2018-09-11,223.85
2018-09-11,223.85
2018-09-11,223.85
2018-09-12,221.07
2018-09-12,221.07
2018-09-12,221.07
2018-09-12,221.07
2018-09-13,226.41
2018-09-13,226.41
2018-09-13,226.41
2018-09-13,226.41
2018-09-14,223.84
2018-09-14,223.84
2018-09-14,223.84
2018-09-14,223.84
2018-09-17,217.88
2018-09-17,217.88
2018-09-17,217.88
2018-09-17,217.88
2018-09-18,218.24
2018-09-18,218.24
2018-09-18,218.24
2018-09-18,218.24
2018-09-19,218.37
2018-09-19,218.37
2018-09-19,218.37
2018-09-19,218.37
2018-09-20,220.03
2018-09-20,220.03
2018-09-20,220.03
2018-09-20,220.03
2018-09-21,217.66
2018-09-21,217.66
2018-09-21,217.66
2018-09-21,217.66
2018-09-24,220.1
2018-09-24,220.1
2018-09-24,220.1
2018-09-24,220.1
2018-09-25,222.19
2018-09-25,222.19
2018-09-25,222.19
2018-09-25,222.19
2018-09-26,220.42
2018-09-26,220.42
2018-09-26,220.42
2018-09-26,220.42
2018-09-27,224.95
2018-09-27,224.95
2018-09-27,224.95
2018-09-27,224.95
2018-09-28,225.74
2018-09-28,225.74
2018-09-28,225.74
2018-09-28,225.74
2018-10-01,227.26
2018-10-01,227.26
2018-10-01,227.26
2018-10-01,227.26
2018-10-02,229.28
2018-10-02,229.28
2018-10-02,229.28
2018-10-02,229.28
2018-10-03,232.07
2018-10-03,232.07
2018-10-03,232.07
2018-10-03,232.07
2018-10-04,227.99
2018-10-04,227.99
2018-10-04,227.99
2018-10-04,227.99
2018-10-05,224.29
2018-10-05,224.29
2018-10-05,224.29
2018-10-05,224.29
2018-10-08,223.77
2018-10-08,223.77
2018-10-08,223.77
2018-10-08,223.77
2018-10-09,226.87
2018-10-09,226.87
2018-10-09,226.87
2018-10-09,226.87
2018-10-10,216.36
2018-10-10,216.36
2018-10-10,216.36
2018-10-10,216.36
2018-10-11,214.45
2018-10-11,214.45
2018-10-11,214.45
2018-10-11,214.45
2018-10-12,222.11
2018-10-12,222.11
2018-10-12,222.11
2018-10-12,222.11
2018-10-15,217.36
2018-10-15,217.36
2018-10-15,217.36
2018-10-15,217.36
2018-10-16,222.15
2018-10-16,222.15
2018-10-16,222.15
2018-10-16,222.15
2018-10-17,221.19
2018-10-17,221.19
2018-10-17,221.19
2018-10-17,221.19
2018-10-18,216.02
2018-10-18,216.02
2018-10-18,216.02
2018-10-18,216.02
2018-10-19,219.31
2018-10-19,219.31
2018-10-19,219.31
2018-10-19,219.31
2018-10-22,220.65
2018-10-22,220.65
2018-10-22,220.65
2018-10-22,220.65
2018-10-23,222.73
2018-10-23,222.73
2018-10-23,222.73
2018-10-23,222.73
2018-10-24,215.09
2018-10-24,215.09
2018-10-24,215.09
2018-10-24,215.09
2018-10-25,219.8
2018-10-25,219.8
2018-10-25,219.8
2018-10-25,219.8
2018-10-26,216.3
2018-10-26,216.3
2018-10-26,216.3
2018-10-26,216.3
2018-10-29,212.24
2018-10-29,212.24
2018-10-29,212.24
2018-10-29,212.24
2018-10-30,213.3
2018-10-30,213.3
2018-10-30,213.3
2018-10-30,213.3
2018-10-31,218.86
2018-10-31,218.86
2018-10-31,218.86
2018-10-31,218.86
2018-11-01,222.22
2018-11-01,222.22
2018-11-01,222.22
2018-11-01,222.22
2018-11-02,207.48
2018-11-02,207.48
2018-11-02,207.48
2018-11-02,207.48
2018-11-05,201.59
2018-11-05,201.59
2018-11-05,201.59
2018-11-05,201.59
2018-11-06,203.77
2018-11-06,203.77
2018-11-06,203.77
2018-11-06,203.77
2018-11-07,209.95
2018-11-07,209.95
2018-11-07,209.95
2018-11-07,209.95
2018-11-08,208.49
2018-11-08,208.49
2018-11-08,208.49
2018-11-08,208.49
2018-11-09,204.47
2018-11-09,204.47
2018-11-09,204.47
2018-11-09,204.47
2018-11-12,194.17
2018-11-12,194.17
2018-11-12,194.17
2018-11-12,194.17
2018-11-13,192.23
2018-11-13,192.23
2018-11-13,192.23
2018-11-13,192.23
2018-11-14,186.8
2018-11-14,186.8
2018-11-14,186.8
2018-11-14,186.8
2018-11-15,191.41
2018-11-15,191.41
2018-11-15,191.41
2018-11-15,191.41
2018-11-16,193.53
2018-11-16,193.53
2018-11-16,193.53
2018-11-16,193.53
2018-11-19,185.86
2018-11-19,185.86
2018-11-19,185.86
2018-11-19,185.86
2018-11-20,176.98
2018-11-20,176.98
2018-11-20,176.98
2018-11-20,176.98
2018-11-21,176.78
2018-11-21,176.78
2018-11-21,176.78
2018-11-21,176.78
2018-11-23,172.29
2018-11-23,172.29
2018-11-23,172.29
2018-11-23,172.29
2018-11-26,174.62
2018-11-26,174.62
2018-11-26,174.62
2018-11-26,174.62
2018-11-27,174.24
2018-11-27,174.24
2018-11-27,174.24
2018-11-27,174.24
2018-11-28,180.94
2018-11-28,180.94
2018-11-28,180.94
2018-11-28,180.94
2018-11-29,179.55
2018-11-29,179.55
2018-11-29,179.55
2018-11-29,179.55
2018-11-30,178.58
2018-11-30,178.58
2018-11-30,178.58
2018-11-30,178.58
2018-12-03,184.82
2018-12-03,184.82
2018-12-03,184.82
2018-12-03,184.82
2018-12-04,176.69
2018-12-04,176.69
2018-12-04,176.69
2018-12-04,176.69
2018-12-06,174.72
2018-12-06,174.72
2018-12-06,174.72
2018-12-06,174.72
2018-12-07,168.49
2018-12-07,168.49
2018-12-07,168.49
2018-12-07,168.49
2018-12-10,169.6
2018-12-10,169.6
2018-12-10,169.6
2018-12-10,169.6
2018-12-11,168.63
2018-12-11,168.63
2018-12-11,168.63
2018-12-11,168.63
2018-12-12,169.1
2018-12-12,169.1
2018-12-12,169.1
2018-12-12,169.1
2018-12-13,170.95
2018-12-13,170.95
2018-12-13,170.95
2018-12-13,170.95
2018-12-14,165.48
2018-12-14,165.48
2018-12-14,165.48
2018-12-14,165.48
2018-12-17,163.94
2018-12-17,163.94
2018-12-17,163.94
2018-12-17,163.94
2018-12-18,166.07
2018-12-18,166.07
2018-12-18,166.07
2018-12-18,166.07
2018-12-19,160.89
2018-12-19,160.89
2018-12-19,160.89
2018-12-19,160.89
2018-12-20,156.83
2018-12-20,156.83
2018-12-20,156.83
2018-12-20,156.83
2018-12-21,150.73
2018-12-21,150.73
2018-12-21,150.73
2018-12-21,150.73
2018-12-24,146.83
2018-12-24,146.83
2018-12-24,146.83
2018-12-24,146.83
2018-12-26,157.17
2018-12-26,157.17
2018-12-26,157.17
2018-12-26,157.17
2018-12-27,156.15
2018-12-27,156.15
2018-12-27,156.15
2018-12-27,156.15
2018-12-28,156.23
2018-12-28,156.23
2018-12-28,156.23
2018-12-28,156.23
2018-12-31,157.74
2018-12-31,157.74
2018-12-31,157.74
2018-12-31,157.74
2019-01-02,157.92
2019-01-02,157.92
2019-01-02,157.92
2019-01-02,157.92
2019-01-03,142.19
2019-01-03,142.19
2019-01-03,142.19
2019-01-03,142.19
2019-01-04,148.26
2019-01-04,148.26
2019-01-04,148.26
2019-01-04,148.26
2019-01-07,147.93
2019-01-07,147.93
2019-01-07,147.93
2019-01-07,147.93
2019-01-08,150.75
2019-01-08,150.75
2019-01-08,150.75
2019-01-08,150.75
2019-01-09,153.31
2019-01-09,153.31
2019-01-09,153.31
2019-01-09,153.31
2019-01-10,153.8
2019-01-10,153.8
2019-01-10,153.8
2019-01-10,153.8
2019-01-11,152.29
2019-01-11,152.29
2019-01-11,152.29
2019-01-11,152.29
2019-01-14,150.0
2019-01-14,150.0
2019-01-14,150.0
2019-01-14,150.0
2019-01-15,153.07
2019-01-15,153.07
2019-01-15,153.07
2019-01-15,153.07
2019-01-16,154.94
2019-01-16,154.94
2019-01-16,154.94
2019-01-16,154.94
2019-01-17,155.86
2019-01-17,155.86
2019-01-17,155.86
2019-01-17,155.86
2019-01-18,156.82
2019-01-18,156.82
2019-01-18,156.82
2019-01-18,156.82
2019-01-22,153.3
2019-01-22,153.3
2019-01-22,153.3
2019-01-22,153.3
2019-01-23,153.92
2019-01-23,153.92
2019-01-23,153.92
2019-01-23,153.92
2019-01-24,152.7
2019-01-24,152.7
2019-01-24,152.7
2019-01-24,152.7
2019-01-25,157.76
2019-01-25,157.76
2019-01-25,157.76
2019-01-25,157.76
2019-01-28,156.3
2019-01-28,156.3
2019-01-28,156.3
2019-01-28,156.3
2019-01-29,154.68
2019-01-29,154.68
2019-01-29,154.68
2019-01-29,154.68
2019-01-30,165.25
2019-01-30,165.25
2019-01-30,165.25
2019-01-30,165.25
2019-01-31,166.44
2019-01-31,166.44
2019-01-31,166.44
2019-01-31,166.44
2019-02-01,166.52
2019-02-01,166.52
2019-02-01,166.52
2019-02-01,166.52
2019-02-04,171.25
2019-02-04,171.25
2019-02-04,171.25
2019-02-04,171.25
2019-02-05,174.18
2019-02-05,174.18
2019-02-05,174.18
2019-02-05,174.18
2019-02-06,174.24
2019-02-06,174.24
2019-02-06,174.24
2019-02-06,174.24
2019-02-07,170.94
2019-02-07,170.94
2019-02-07,170.94
2019-02-07,170.94
2019-02-08,170.41
2019-02-08,170.41
2019-02-08,170.41
2019-02-08,170.41
2019-02-11,169.43
2019-02-11,169.43
2019-02-11,169.43
2019-02-11,169.43
2019-02-12,170.89
2019-02-12,170.89
2019-02-12,170.89
2019-02-12,170.89
2019-02-13,170.18
2019-02-13,170.18
2019-02-13,170.18
2019-02-13,170.18
2019-02-14,170.8
2019-02-14,170.8
2019-02-14,170.8
2019-02-14,170.8
2019-02-15,170.42
2019-02-15,170.42
2019-02-15,170.42
2019-02-15,170.42
2019-02-19,170.93
2019-02-19,170.93
2019-02-19,170.93
2019-02-19,170.93
2019-02-20,172.03
2019-02-20,172.03
2019-02-20,172.03
2019-02-20,172.03
2019-02-21,171.06
2019-02-21,171.06
2019-02-21,171.06
2019-02-21,171.06
2019-02-22,172.97
2019-02-22,172.97
2019-02-22,172.97
2019-02-22,172.97
2019-02-25,174.23
2019-02-25,174.23
2019-02-25,174.23
2019-02-25,174.23
2019-02-26,174.33
2019-02-26,174.33
2019-02-26,174.33
2019-02-26,174.33
2019-02-27,174.87
2019-02-27,174.87
2019-02-27,174.87
2019-02-27,174.87
2019-02-28,173.15
2019-02-28,173.15
2019-02-28,173.15
2019-02-28,173.15
2019-03-01,174.97
2019-03-01,174.97
2019-03-01,174.97
2019-03-01,174.97
2019-03-04,175.85
2019-03-04,175.85
2019-03-04,175.85
2019-03-04,175.85
2019-03-05,175.53
2019-03-05,175.53
2019-03-05,175.53
2019-03-05,175.53
2019-03-06,174.52
2019-03-06,174.52
2019-03-06,174.52
2019-03-06,174.52
2019-03-07,172.5
2019-03-07,172.5
2019-03-07,172.5
2019-03-07,172.5
2019-03-08,172.91
2019-03-08,172.91
2019-03-08,172.91
2019-03-08,172.91
2019-03-11,178.9
2019-03-11,178.9
2019-03-11,178.9
2019-03-11,178.9
2019-03-12,180.91
2019-03-12,180.91
2019-03-12,180.91
2019-03-12,180.91
2019-03-13,181.71
2019-03-13,181.71
2019-03-13,181.71
2019-03-13,181.71
2019-03-14,183.73
2019-03-14,183.73
2019-03-14,183.73
2019-03-14,183.73
2019-03-15,186.12
2019-03-15,186.12
2019-03-15,186.12
2019-03-15,186.12
2019-03-18,188.02
2019-03-18,188.02
2019-03-18,188.02
2019-03-18,188.02
2019-03-19,186.53
2019-03-19,186.53
2019-03-19,186.53
2019-03-19,186.53
2019-03-20,188.16
2019-03-20,188.16
2019-03-20,188.16
2019-03-20,188.16
2019-03-21,195.09
2019-03-21,195.09
2019-03-21,195.09
2019-03-21,195.09
2019-03-22,191.05
2019-03-22,191.05
2019-03-22,191.05
2019-03-22,191.05
2019-03-25,188.74
2019-03-25,188.74
2019-03-25,188.74
2019-03-25,188.74
2019-03-26,186.79
2019-03-26,186.79
2019-03-26,186.79
2019-03-26,186.79
2019-03-27,188.47
2019-03-27,188.47
2019-03-27,188.47
2019-03-27,188.47
2019-03-28,188.72
2019-03-28,188.72
2019-03-28,188.72
2019-03-28,188.72
2019-03-29,189.95
2019-03-29,189.95
2019-03-29,189.95
2019-03-29,189.95
2019-04-01,191.24
2019-04-01,191.24
2019-04-01,191.24
2019-04-01,191.24
2019-04-02,194.02
2019-04-02,194.02
2019-04-02,194.02
2019-04-02,194.02
2019-04-03,195.35
2019-04-03,195.35
2019-04-03,195.35
2019-04-03,195.35
2019-04-04,195.69
2019-04-04,195.69
2019-04-04,195.69
2019-04-04,195.69
2019-04-05,197.0
2019-04-05,197.0
2019-04-05,197.0
2019-04-05,197.0
2019-04-08,200.1
2019-04-08,200.1
2019-04-08,200.1
2019-04-08,200.1
2019-04-09,199.5
2019-04-09,199.5
2019-04-09,199.5
2019-04-09,199.5
2019-04-10,200.62
2019-04-10,200.62
2019-04-10,200.62
2019-04-10,200.62
2019-04-11,198.95
2019-04-11,198.95
2019-04-11,198.95
2019-04-11,198.95
2019-04-12,198.87
2019-04-12,198.87
2019-04-12,198.87
2019-04-12,198.87
2019-04-15,199.23
2019-04-15,199.23
2019-04-15,199.23
2019-04-15,199.23
2019-04-16,199.25
2019-04-16,199.25
2019-04-16,199.25
2019-04-16,199.25
2019-04-17,203.13
2019-04-17,203.13
2019-04-17,203.13
2019-04-17,203.13
2019-04-18,203.86
2019-04-18,203.86
2019-04-18,203.86
2019-04-18,203.86
2019-04-22,204.53
2019-04-22,204.53
2019-04-22,204.53
2019-04-22,204.53
2019-04-23,207.48
2019-04-23,207.48
2019-04-23,207.48
2019-04-23,207.48
2019-04-24,207.16
2019-04-24,207.16
2019-04-24,207.16
2019-04-24,207.16
2019-04-25,205.28
2019-04-25,205.28
2019-04-25,205.28
2019-04-25,205.28
2019-04-26,204.3
2019-04-26,204.3
2019-04-26,204.3
2019-04-26,204.3
2019-04-29,204.61
2019-04-29,204.61
2019-04-29,204.61
2019-04-29,204.61
2019-04-30,200.67
2019-04-30,200.67
2019-04-30,200.67
2019-04-30,200.67
2019-05-01,210.52
2019-05-01,210.52
2019-05-01,210.52
2019-05-01,210.52
2019-05-02,209.15
2019-05-02,209.15
2019-05-02,209.15
2019-05-02,209.15
2019-05-03,211.75
2019-05-03,211.75
2019-05-03,211.75
2019-05-03,211.75
2019-05-06,208.48
2019-05-06,208.48
2019-05-06,208.48
2019-05-06,208.48
2019-05-07,202.86
2019-05-07,202.86
2019-05-07,202.86
2019-05-07,202.86
2019-05-08,202.9
2019-05-08,202.9
2019-05-08,202.9
2019-05-08,202.9
2019-05-09,200.72
2019-05-09,200.72
2019-05-09,200.72
2019-05-09,200.72
2019-05-10,197.18
2019-05-10,197.18
2019-05-10,197.18
2019-05-10,197.18
2019-05-13,185.72
2019-05-13,185.72
2019-05-13,185.72
2019-05-13,185.72
2019-05-14,188.66
2019-05-14,188.66
2019-05-14,188.66
2019-05-14,188.66
2019-05-15,190.92
2019-05-15,190.92
2019-05-15,190.92
2019-05-15,190.92
2019-05-16,190.08
2019-05-16,190.08
2019-05-16,190.08
2019-05-16,190.08
2019-05-17,189.0
2019-05-17,189.0
2019-05-17,189.0
2019-05-17,189.0
2019-05-20,183.09
2019-05-20,183.09
2019-05-20,183.09
2019-05-20,183.09
2019-05-21,186.6
2019-05-21,186.6
2019-05-21,186.6
2019-05-21,186.6
2019-05-22,182.78
2019-05-22,182.78
2019-05-22,182.78
2019-05-22,182.78
2019-05-23,179.66
2019-05-23,179.66
2019-05-23,179.66
2019-05-23,179.66
2019-05-24,178.97
2019-05-24,178.97
2019-05-24,178.97
2019-05-24,178.97
2019-05-28,178.23
2019-05-28,178.23
2019-05-28,178.23
2019-05-28,178.23
2019-05-29,177.38
2019-05-29,177.38
2019-05-29,177.38
2019-05-29,177.38
2019-05-30,178.3
2019-05-30,178.3
2019-05-30,178.3
2019-05-30,178.3
2019-05-31,175.07
2019-05-31,175.07
2019-05-31,175.07
2019-05-31,175.07
2019-06-03,173.3
2019-06-03,173.3
2019-06-03,173.3
2019-06-03,173.3
2019-06-04,179.64
2019-06-04,179.64
2019-06-04,179.64
2019-06-04,179.64
2019-06-05,182.54
2019-06-05,182.54
2019-06-05,182.54
2019-06-05,182.54
2019-06-06,185.22
2019-06-06,185.22
2019-06-06,185.22
2019-06-06,185.22
2019-06-07,190.15
2019-06-07,190.15
2019-06-07,190.15
2019-06-07,190.15
2019-06-10,192.58
2019-06-10,192.58
2019-06-10,192.58
2019-06-10,192.58
2019-06-11,194.81
2019-06-11,194.81
2019-06-11,194.81
2019-06-11,194.81
2019-06-12,194.19
2019-06-12,194.19
2019-06-12,194.19
2019-06-12,194.19
2019-06-13,194.15
2019-06-13,194.15
2019-06-13,194.15
2019-06-13,194.15
2019-06-14,192.74
2019-06-14,192.74
2019-06-14,192.74
2019-06-14,192.74
2019-06-17,193.89
2019-06-17,193.89
2019-06-17,193.89
2019-06-17,193.89
2019-06-18,198.45
2019-06-18,198.45
2019-06-18,198.45
2019-06-18,198.45
2019-06-19,197.87
2019-06-19,197.87
2019-06-19,197.87
2019-06-19,197.87
2019-06-20,199.46
2019-06-20,199.46
2019-06-20,199.46
2019-06-20,199.46
2019-06-21,198.78
2019-06-21,198.78
2019-06-21,198.78
2019-06-21,198.78
2019-06-24,198.58
2019-06-24,198.58
2019-06-24,198.58
2019-06-24,198.58
2019-06-25,195.57
2019-06-25,195.57
2019-06-25,195.57
2019-06-25,195.57
2019-06-26,199.8
2019-06-26,199.8
2019-06-26,199.8
2019-06-26,199.8
2019-06-27,199.74
2019-06-27,199.74
2019-06-27,199.74
2019-06-27,199.74
2019-06-28,197.92
2019-06-28,197.92
2019-06-28,197.92
2019-06-28,197.92
2019-07-01,201.55
2019-07-01,201.55
2019-07-01,201.55
2019-07-01,201.55
2019-07-02,202.73
2019-07-02,202.73
2019-07-02,202.73
2019-07-02,202.73
2019-07-03,204.41
2019-07-03,204.41
2019-07-03,204.41
2019-07-03,204.41
2019-07-05,204.23
2019-07-05,204.23
2019-07-05,204.23
2019-07-05,204.23
2019-07-08,200.02
2019-07-08,200.02
2019-07-08,200.02
2019-07-08,200.02
2019-07-09,201.24
2019-07-09,201.24
2019-07-09,201.24
2019-07-09,201.24
2019-07-10,203.23
2019-07-10,203.23
2019-07-10,203.23
2019-07-10,203.23
2019-07-11,201.75
2019-07-11,201.75
2019-07-11,201.75
2019-07-11,201.75
2019-07-12,203.3
2019-07-12,203.3
2019-07-12,203.3
2019-07-12,203.3
2019-07-15,205.21
2019-07-15,205.21
2019-07-15,205.21
2019-07-15,205.21
2019-07-16,204.5
2019-07-16,204.5
2019-07-16,204.5
2019-07-16,204.5
2019-07-17,203.35
2019-07-17,203.35
2019-07-17,203.35
2019-07-17,203.35
2019-07-18,205.66
2019-07-18,205.66
2019-07-18,205.66
2019-07-18,205.66
2019-07-19,202.59
2019-07-19,202.59
2019-07-19,202.59
2019-07-19,202.59
2019-07-22,207.22
2019-07-22,207.22
2019-07-22,207.22
2019-07-22,207.22
2019-07-23,208.84
2019-07-23,208.84
2019-07-23,208.84
2019-07-23,208.84
2019-07-24,208.67
2019-07-24,208.67
2019-07-24,208.67
2019-07-24,208.67
2019-07-25,207.02
2019-07-25,207.02
2019-07-25,207.02
2019-07-25,207.02
2019-07-26,207.74
2019-07-26,207.74
2019-07-26,207.74
2019-07-26,207.74
2019-07-29,209.68
2019-07-29,209.68
2019-07-29,209.68
2019-07-29,209.68
2019-07-30,208.78
2019-07-30,208.78
2019-07-30,208.78
2019-07-30,208.78
2019-07-31,213.04
2019-07-31,213.04
2019-07-31,213.04
2019-07-31,213.04
2019-08-01,208.43
2019-08-01,208.43
2019-08-01,208.43
2019-08-01,208.43
2019-08-02,204.02
2019-08-02,204.02
2019-08-02,204.02
2019-08-02,204.02
2019-08-05,193.34
2019-08-05,193.34
2019-08-05,193.34
2019-08-05,193.34
2019-08-06,197.0
2019-08-06,197.0
2019-08-06,197.0
2019-08-06,197.0
2019-08-07,199.04
2019-08-07,199.04
2019-08-07,199.04
2019-08-07,199.04
2019-08-08,203.43
2019-08-08,203.43
2019-08-08,203.43
2019-08-08,203.43
2019-08-09,200.99
2019-08-09,200.99
2019-08-09,200.99
2019-08-09,200.99
2019-08-12,200.48
2019-08-12,200.48
2019-08-12,200.48
2019-08-12,200.48
2019-08-13,208.97
2019-08-13,208.97
2019-08-13,208.97
2019-08-13,208.97
2019-08-14,202.75
2019-08-14,202.75
2019-08-14,202.75
2019-08-14,202.75
2019-08-15,201.74
2019-08-15,201.74
2019-08-15,201.74
2019-08-15,201.74
2019-08-16,206.5
2019-08-16,206.5
2019-08-16,206.5
2019-08-16,206.5
2019-08-19,210.35
2019-08-19,210.35
2019-08-19,210.35
2019-08-19,210.35
2019-08-20,210.36
2019-08-20,210.36
2019-08-20,210.36
2019-08-20,210.36
2019-08-21,212.64
2019-08-21,212.64
2019-08-21,212.64
2019-08-21,212.64
2019-08-22,212.46
2019-08-22,212.46
2019-08-22,212.46
2019-08-22,212.46
2019-08-23,202.64
2019-08-23,202.64
2019-08-23,202.64
2019-08-23,202.64
2019-08-26,206.49
2019-08-26,206.49
2019-08-26,206.49
2019-08-26,206.49
2019-08-27,204.16
2019-08-27,204.16
2019-08-27,204.16
2019-08-27,204.16
2019-08-28,205.53
2019-08-28,205.53
2019-08-28,205.53
2019-08-28,205.53
2019-08-29,209.01
2019-08-29,209.01
2019-08-29,209.01
2019-08-29,209.01
2019-08-30,208.74
2019-08-30,208.74
2019-08-30,208.74
2019-08-30,208.74
2019-09-03,205.7
2019-09-03,205.7
2019-09-03,205.7
2019-09-03,205.7
2019-09-04,209.19
2019-09-04,209.19
2019-09-04,209.19
2019-09-04,209.19
2019-09-05,213.28
2019-09-05,213.28
2019-09-05,213.28
2019-09-05,213.28
2019-09-06,213.26
2019-09-06,213.26
2019-09-06,213.26
2019-09-06,213.26
2019-09-09,214.17
2019-09-09,214.17
2019-09-09,214.17
2019-09-09,214.17
2019-09-10,216.7
2019-09-10,216.7
2019-09-10,216.7
2019-09-10,216.7
2019-09-11,223.59
2019-09-11,223.59
2019-09-11,223.59
2019-09-11,223.59
2019-09-12,223.09
2019-09-12,223.09
2019-09-12,223.09
2019-09-12,223.09
2019-09-13,218.75
2019-09-13,218.75
2019-09-13,218.75
2019-09-13,218.75
2019-09-16,219.9
2019-09-16,219.9
2019-09-16,219.9
2019-09-16,219.9
2019-09-17,220.7
2019-09-17,220.7
2019-09-17,220.7
2019-09-17,220.7
2019-09-18,222.77
2019-09-18,222.77
2019-09-18,222.77
2019-09-18,222.77
2019-09-19,220.96
2019-09-19,220.96
2019-09-19,220.96
2019-09-19,220.96
2019-09-20,217.73
2019-09-20,217.73
2019-09-20,217.73
2019-09-20,217.73
2019-09-23,218.72
2019-09-23,218.72
2019-09-23,218.72
2019-09-23,218.72
2019-09-24,217.68
2019-09-24,217.68
2019-09-24,217.68
2019-09-24,217.68
2019-09-25,221.03
2019-09-25,221.03
2019-09-25,221.03
2019-09-25,221.03
2019-09-26,219.89
2019-09-26,219.89
2019-09-26,219.89
2019-09-26,219.89
2019-09-27,218.82
2019-09-27,218.82
2019-09-27,218.82
2019-09-27,218.82
2019-09-30,223.97
2019-09-30,223.97
2019-09-30,223.97
2019-09-30,223.97
2019-10-01,224.59
2019-10-01,224.59
2019-10-01,224.59
2019-10-01,224.59
2019-10-02,218.96
2019-10-02,218.96
2019-10-02,218.96
2019-10-02,218.96
2019-10-03,220.82
2019-10-03,220.82
2019-10-03,220.82
2019-10-03,220.82
2019-10-04,227.01
2019-10-04,227.01
2019-10-04,227.01
2019-10-04,227.01
2019-10-07,227.06
2019-10-07,227.06
2019-10-07,227.06
2019-10-07,227.06
2019-10-08,224.4
2019-10-08,224.4
2019-10-08,224.4
2019-10-08,224.4
2019-10-09,227.03
2019-10-09,227.03
2019-10-09,227.03
2019-10-09,227.03
2019-10-10,230.09
2019-10-10,230.09
2019-10-10,230.09
2019-10-10,230.09
2019-10-11,236.21
2019-10-11,236.21
2019-10-11,236.21
2019-10-11,236.21
2019-10-14,235.87
2019-10-14,235.87
2019-10-14,235.87
2019-10-14,235.87
2019-10-15,235.32
2019-10-15,235.32
2019-10-15,235.32
2019-10-15,235.32
2019-10-16,234.37
2019-10-16,234.37
2019-10-16,234.37
2019-10-16,234.37
